Name,Image URL,IMDB Bio Link,Birth Date,Birth Year,Birth Place,About,Height,Alternative Names,Nickname,Trademark,Star Sign
Aamir Khan,"https://m.media-amazon.com/images/M/MV5BMjAwMjk3NDUzN15BMl5BanBnXkFtZTcwNjI4MTY0NA@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0451148/bio,March 14,1965,"Bombay, Maharashtra, India",Aamir is no doubt one of the most dedicated actors in this world. With his recent success in India and China markets combined he has got the title of World's Biggest Superstar. He went through rapid transformations in his body structure for his films to bring out the reality factor in his characters. This is also one of the reasons why his films ... Read more from IMDB Bio Link,"5' 4"" (1.62 m)","Master Aamir,Aamir Hussain,Khan",Ace of Bollywood,Frequently collaborates with Rajkumar Hirani,Pisces
Huma Qureshi,"https://m.media-amazon.com/images/M/MV5BMTEwMTkyMDY3OTheQTJeQWpwZ15BbWU4MDE1MjEyMzkx._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm4806622/bio,July 28,1986,"New Delhi, India","Huma Qureshi born and raised in Delhi. Her father is a famous restaurant owner called Saleem's a chain of some 10 restaurants in Delhi. Her brother, Saqib Saleem is an actor and acted in Mujhse Fraaandship Karoge. In year 2011 an announcement was made that Huma would make her Bollywood debut in a movie too called Billa 2 but got delayed due to ... Read more from IMDB Bio Link","5' 4¾"" (1.65 m)",,,,Leo
Hrithik Roshan,"https://m.media-amazon.com/images/M/MV5BZjYwYjE4YjQtMTFmMi00NTlhLThjZjUtZTIyMTczMGU2ZDE5XkEyXkFqcGdeQXVyNzM2NzM0NDU@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0004335/bio,January 10,1974,"Bombay, Maharashtra, India","Hrithik Roshan is an Indian actor, born on 10th January 1974, well known globally for his versatile roles, unmatchable dancing skills and attractive looks. After having appeared in films as a child actor in the 1980s, Roshan made his film debut in a leading role in Kaho Naa... Pyaar Hai (2000) for which he earned Filmfare Awards for Best Actor and ... Read more from IMDB Bio Link","5' 9"" (1.75 m)",,Duggu,,Capricorn
Girish Karnad,"https://m.media-amazon.com/images/M/MV5BMTkyNDk3MjEzN15BMl5BanBnXkFtZTYwOTQyODEz._V1_UY317_CR24,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0439784/bio,May 19,1938,"Matheran, Bombay Presidency, British India","Girish Karnad was born on 19th May 1938 in Matheran, Maharashtra. He is acclaimed for his contemporary playwrights in Kannada. He is also an actor, director and screen writer. He was conferred Padma Shri and Padma Bhushan by the Government of India and won four Filmfare Awards where three are Filmfare Award for Best Director - Kannada and one ... Read more from IMDB Bio Link",,,,,Taurus
Inaamulhaq,"https://m.media-amazon.com/images/M/MV5BNTlkNmU1N2YtZGI2OC00YjkwLWIxM2MtNTZkMmJkYTQ4YWE1XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY317_CR15,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm4189429/bio,November 14,1979,"Saharanpur, Uttar Pradesh, India","An alumnus of National School of Drama, Inaamulhaq was born on Nov 14, 1979 in Saharanpur-Uttar Pradesh. He first appeared on stage at the age of twelve. Later, he joined the 'Indian People's Theatre Association' and acted in numerous plays as a lead. In Mumbai he started his career as a writer for TV shows. After working as a 'Creative Consultant'... Read more from IMDB Bio Link","5' 6"" (1.68 m)",,,,Scorpio
Gurpreet Ghuggi,"https://m.media-amazon.com/images/M/MV5BODJhZWQ3NGEtZDFmYS00YTc3LTllMzctZGFlM2U0NjliYTczXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR8,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm1836657/bio,,,,Gurpreet Ghuggi was born as Gurpreet Singh. He is known for his work on,,"Gurpreet Singh 'Ghuggi',Gurprit Ghughi,Gurpreet Ghugi,Gurpreet Guggi,Guggi,Gurpreet Kuggi",Ghuggi,,
Govinda,"https://m.media-amazon.com/images/M/MV5BNzEwNDgwMTk3Nl5BMl5BanBnXkFtZTgwNjMwOTU4MDI@._V1_UY317_CR21,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0332871/bio,December 21,1963,"Bombay, Maharashtra, India","Govinda was born on December 21, 1963. Govinda has acted in over 120 films since his debut in 1986. Govinda is best-known for his comedy related roles; his powerful contribution in dancing in bollywood is inevitable. He is one of the most successful actors and is definitely the best dancer in bollywood. His hardworking mentality and consistent ... Read more from IMDB Bio Link","5' 4¾"" (1.64 m)",,Virar Ka Chokra,,Sagittarius
Jackie Shroff,"https://m.media-amazon.com/images/M/MV5BYzczOGViODMtMWY1Yi00ZTAwLTkzZjItYzlmMzU0NmM5YjBmXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY317_CR23,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0006763/bio,February 1,1957,"Udgir, State of Bombay, India","Jaikishen was born in the Gujarati-speaking Shroff family on February 1, 1957. His dad's name is Kakubhai, his brother's is Hemant, and they live in Bandra, Bombay in a bungalow named 'Le Pepeyon"". A vegetarian, Jaikishen made his Bollywood debut in a bit-role as a villain in the hit","5' 10"" (1.78 m)",Jackie Sheroff,Jagga,,Aquarius
Irrfan Khan,"https://m.media-amazon.com/images/M/MV5BNDg3NDgxNzY4NF5BMl5BanBnXkFtZTcwODMxODQzMg@@._V1_UY317_CR11,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0451234/bio,January 7,1967,"Jaipur, Rajasthan, India","Born Sahabzade Irfan Ali Khan, in Jaipur, Rajasthan (NW India) January 7, 1967 to a Pashto speaking Muslim family. Khan's mother, Begum Khan, was from the Tonk Hakim family and his father, Jagirdar Khan, from the Khajuriya village near the Tonk district, ran a tire business. The Khan family name comes from Turkish and Mongol languages and mean ""... Read more from IMDB Bio Link","5' 10½"" (1.79 m)","'Irrfan',Irfan,Irrfan,Irrfan Kahn,Irfaan Khan,Irfan Khan",,,Capricorn
Gulshan Grover,"https://m.media-amazon.com/images/M/MV5BM2FmZGY4NDctMzczOC00MTg3LWExZDUtYWU5NTNkMTA4YzZhXkEyXkFqcGdeQXVyODI0MDE3OQ@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0004109/bio,September 21,1955,"New Delhi, India","Gulshan Grover was born, raised and educated in Delhi, India. After receiving his master's degree in Commerce from Shri Ram College of Commerce, he decided to pursue his passion and made a lifelong commitment to entertainment industry. He honed his acting skills in theatre, and after many stage productions with the well-known ""Little Theatre Group... Read more from IMDB Bio Link","5' 7½"" (1.71 m)",G. Grover,,,Virgo
